timestamp,energy_consumption,temperature,humidity,occupancy_level,hour,day_of_week,month,is_holiday,temperature_squared
01-08-2023 00:00,2.185430535,22.44021515,88.54027817,0,0,1,8,0,503.563256
01-08-2023 00:15,4.778214379,15.36701554,31.04396001,0,0,1,8,0,236.1451665
01-08-2023 00:30,3.793972738,32.63681921,70.38801538,0,0,1,8,0,1065.161968
01-08-2023 00:45,3.193963179,15.16752779,71.81383235,0,0,1,8,0,230.0538992
01-08-2023 01:00,1.202083882,35.94080758,64.41910776,1,1,1,8,0,1291.74165
01-08-2023 01:15,1.201975342,16.35123005,30.58140686,0,1,1,8,0,267.3627242
01-08-2023 01:30,0.761376255,30.66635352,66.38110781,0,1,1,8,0,940.425238
01-08-2023 01:45,4.397792656,24.05241947,36.90127854,1,1,1,8,0,578.5188822
01-08-2023 02:00,3.205017553,19.88017569,34.68406136,1,2,1,8,0,395.2213854
01-08-2023 02:15,3.6863266,36.5582016,71.76369509,1,2,1,8,0,1336.502104
01-08-2023 02:30,0.592630224,32.90990045,72.01407334,1,2,1,8,0,1083.061547
01-08-2023 02:45,4.864594335,23.17057359,83.39471209,1,2,1,8,0,536.8754804
01-08-2023 03:00,4.245991884,21.81967423,30.20282813,1,3,1,8,0,476.0981834
01-08-2023 03:15,1.455525998,32.66429506,52.72559125,0,3,1,8,0,1066.956172
01-08-2023 03:30,1.318212352,35.0776983,30.73631994,1,3,1,8,0,1230.444918
01-08-2023 03:45,1.325320294,32.18041114,51.87975277,1,3,1,8,0,1035.578861
01-08-2023 04:00,1.869090093,30.3597414,59.4994763,1,4,1,8,0,921.7138979
01-08-2023 04:15,2.861403942,20.4701934,61.78374969,0,4,1,8,0,419.028818
01-08-2023 04:30,2.443752584,35.4672956,51.35596281,1,4,1,8,0,1257.929057
01-08-2023 04:45,1.810531131,32.9918876,73.51808209,0,4,1,8,0,1088.464648
01-08-2023 05:00,3.253338026,27.41458295,54.93569537,1,5,1,8,0,751.5593586
01-08-2023 05:15,1.127722373,27.27810629,61.02759254,0,5,1,8,0,744.095083
01-08-2023 05:30,1.814650918,28.66015267,78.00525606,1,5,1,8,0,821.4043509
01-08-2023 05:45,2.148628295,34.87863346,40.45816598,0,5,1,8,0,1216.519072
01-08-2023 06:00,2.552314929,32.81422917,49.25371395,1,6,1,8,0,1076.773636
01-08-2023 06:15,4.033291826,35.54987985,61.28577604,0,6,1,8,0,1263.793958
01-08-2023 06:30,1.39853202,27.17478652,76.0570935,1,6,1,8,0,738.4690224
01-08-2023 06:45,2.814054973,29.99157742,55.52132565,1,6,1,8,0,899.4947159
01-08-2023 07:00,3.16586556,35.50972337,34.36600634,1,7,1,8,0,1260.940453
01-08-2023 07:15,0.709026857,20.57568144,89.32983191,0,7,1,8,0,423.3586669
01-08-2023 07:30,3.233951834,25.65649633,72.47464336,1,7,1,8,0,658.2558037
01-08-2023 07:45,1.267358557,29.89565369,73.36410816,0,7,1,8,0,893.7501094
01-08-2023 08:00,0.792732168,36.96351018,57.90629469,1,8,1,8,0,1366.301085
01-08-2023 08:15,4.769984918,15.38006427,62.82240342,1,8,1,8,0,236.5463768
01-08-2023 08:30,4.845344149,20.1017558,89.64290663,1,8,1,8,0,404.0805861
01-08-2023 08:45,4.137788067,20.62681219,65.70694222,1,8,1,8,0,425.465381
01-08-2023 09:00,1.870761961,22.83870433,43.13576797,0,9,1,8,0,521.6064153
